,Unnamed: 0,Total,Change,Percent,Song_uuid,Song_name,creditName,nexttoken
471591,21985,34784,-1,0.0,7e8520c-1c64-4fae-bf77-f65dac91ca0d,Sohney Vekhey Lakhan Ne,Atta Ullah Khan Esakhelvi,WzM0OTExLDMxODg2OF0=
471780,22174,34500,93,0.27,0b00229-c4e8-4c54-b0ac-8c5c044b15ce,Bulbuli,R. Akib,WzM0NjAwLDcxNTc3NzI3MV0=
471911,22305,34300,-100,-0.29,3aa84d2-f6d6-48e0-aa00-a367713bf12e,Teri Ungli Pakar Ke Chala,Muhammad Rashid Azam,WzM0MzAwLDc5NDkyNzUxXQ==
472130,22524,33957,-89,-0.26,1e8409b-fdd1-7644-af27-a0369fe50396,หวังดีเสมอ,Potato,WzM0MDAwLDM3Njk3MjA4XQ==
472333,22727,33647,-6,-0.02,1e84091-a39d-ac10-b370-aa1c026db3d8,Nuvvu Nuvvu,Sumangaly,WzMzNzAwLDc2NDA5OTkyOF0=
472419,22813,33503,-97,-0.29,ed8c81f-1e94-4ecb-87d8-dcce785805ee,Дисней,Mary Gu,WzMzNTQwLDY2OTYyMzA0NV0=
472427,22821,33500,-100,-0.3,14e96e7-e0a3-45a1-98bf-eb1fde58ea98,Scenery,KPop Boyz,WzMzNTQwLDY2OTYyMzA0NV0=
472524,22918,33389,-33,-0.1,1e826e7-ac60-7daa-9ba9-a0369fe50396,Pagsubok,Daniel Padilla,WzMzNDAwLDYyMjAxMjA3Ml0=
472533,22927,33372,-97,-0.29,1e8409d-7c19-044e-96fa-aa1c026db3d8,Kalp Yolu,Kürşat Zengin,WzMzNDAwLDYyMjAxMjA3Ml0=
472538,22932,33361,-17,-0.05,1883b28-7fe3-11e9-b3f9-00163ec5a2fb,Evîn,Cane,WzMzNDAwLDYyMjAxMjA3Ml0=
472793,23187,33000,-100,-0.3,93e2d26-e46c-4c7e-9154-40f7f81d4204,แรกๆ,Toktak Ace,WzMzMTA5LDQ3NDAzNDkyXQ==
472899,23293,32842,-91,-0.28,d16781e-7da7-11e9-851d-549f35161576,Subalkheri,Aslay & Nandy,WzMyOTc1LDU1NTE3Nzg1XQ==
473095,23489,32560,-60,-0.18,0f0b6b0-1586-4e4f-a22f-2ea88207f9ff,Timro Darshan Paina Maile,Ramji Khand & Tika Pun,WzMyNzAwLDY5Mjg1MDkzMV0=
473207,23601,32400,-100,-0.31,866fe3c-ecd1-4073-812e-168c419d354f,Bernyanyi Jangan Di Lawan,Dije Tekong,WzMyNDAwLDYyODEzNDAyNF0=
473409,23803,32109,-94,-0.29,c504c12-49a0-11ea-9cf0-549f35141000,Moon,Kamandi,WzMyMTE2LDcyMjU0MDIyN10=
473632,24026,31800,-100,-0.31,95002b6-3db0-4bf6-a134-2917e367ddae,Panjtan Pak,Jawad Ahmed Naqshbandi,WzMxODE0LDYzMzIyMTM5MV0=
473660,24054,31726,-89,-0.28,46a1a77-d5da-4f14-8751-c6741cb1c19f,Binetna Layem,D-Boy,WzMxODE0LDYzMzIyMTM5MV0=
473678,24072,31700,-100,-0.31,1e84099-b451-34b6-87b3-a0369fe50396,ไม่มีอะไรที่เป็นไปไม่ได้ (Possible),Lula & SIN,WzMxODE0LDYzMzIyMTM5MV0=
473874,24268,31413,-62,-0.2,1cfce6b-e55d-4427-8b05-13dbc8f101b4,Gurbet,Zehra,WzMxNTAxLDE0NDkzNDE5XQ==
474174,24568,31000,-100,-0.32,1e840f4-b632-0412-bc7d-aa1c026db3d8,ขอบใจนะ,Praw Kanitkul & หนึ่ง ณรงค์วิทย์,WzMxMTAwLDcwOTI1MTU5NV0=
474461,24855,30602,2,0.01,1e8aa03-375f-1080-bab4-525400009efb,Rang,Hashmat Sultana,WzMwNjk5LDcxNDYyMjA1Ml0=
474487,24881,30600,-100,-0.33,ade8031-abe9-4844-b768-ffab3429158f,王者战歌（DJ版）,承利 & 枫叶 & 豪大大,WzMwNjk5LDcxNDYyMjA1Ml0=
474507,24901,30574,1471,5.05,7c63d58-863e-11e9-baea-549f35161576,Водица,Olga Buzova,WzMwNTc3LDcxODg2MzYzMF0=
474561,24955,30500,-100,-0.33,2fa3408-5dc4-4bd3-afd0-988688dca6ce,Bante Naw,Temesgen Markos,WzMwNTc3LDcxODg2MzYzMF0=
474564,24958,30500,-100,-0.33,55f3c01-9a9d-4e26-80d9-3614239fdbe9,ចង់បបួលបងធ្វើសង្សារ,តន់ ចន្ទសីម៉ា,WzMwNTc3LDcxODg2MzYzMF0=
474629,25023,30400,-100,-0.33,1e840a3-fbb4-86dc-a6d3-a0369fe50396,มีค่าเวลาเธอเหงา,Panadda Ruangwut,WzMwNDM5LDI3NDI0OF0=
474631,25025,30400,0,0.0,1e84104-2940-277c-89fb-aa1c026db3d8,Selamat Ulang Tahun,Vera,WzMwNDM5LDI3NDI0OF0=
474635,25029,30400,-100,-0.33,daa3250-d630-11e9-9f59-801844edfa71,Balungan Kere - Koplo Version,ILUX,WzMwNDM5LDI3NDI0OF0=
474715,25109,30305,-23,-0.08,91a7476-2a37-11e9-bca3-00163ec5a2fb,Akusiy'owakho,Sya Zwide,WzMwMzE2LDMwNDk2NTc3XQ==
474812,25206,30200,-100,-0.33,8a8be2b-96cd-4ed0-b28b-bf665acfd60e,Kodian De Bhah,Balkar Sidhu,WzMwMjAwLDYyMDk1OTMwNF0=
474820,25214,30195,-89,-0.29,abd0953-335a-4f30-84f7-511c73f15e1b,Júrame,André Silva,WzMwMjAwLDYyMDk1OTMwNF0=
474830,25224,30179,8,0.03,1757c5b-3084-45ac-b3a6-8dd3aba2336f,Daadoo,Dinkisa Debela,WzMwMjAwLDYyMDk1OTMwNF0=
475025,25419,29900,-100,-0.33,1e8409e-4b97-b3e6-a45c-aa1c026db3d8,Ikaw Ang Iibigin Ko,Jos Garcia,WzI5OTMxLDczNDE2ODgyMV0=
475029,25423,29900,-100,-0.33,1e840a9-93cd-78d4-bb1e-aa1c026db3d8,Sepanjang Hidup - Vocals Only Version,Maher Zain,WzI5OTMxLDczNDE2ODgyMV0=
475062,25456,29885,-98,-0.33,1e82630-9fe1-38b0-b826-a0369fe50396,Hum Tumhare Hain Sanam,Udit Narayan & Anuradha Paudwal,WzI5OTMxLDczNDE2ODgyMV0=
475068,25462,29875,-98,-0.33,0596fcf-923c-4631-a3b9-38cdfa521556,Rakhwan Kota,Kulbir Jhinjer,WzI5OTMxLDczNDE2ODgyMV0=
475132,25526,29792,-73,-0.24,303c357-a284-4c84-b0a7-7a756adb2551,Honey,R Zar Ni,WzI5ODAwLDE2MDUyODU3XQ==
475200,25594,29700,-100,-0.34,ccf16d0-f07d-4b85-8f0c-4c074ab88f26,Still Life (with Anderson .Paak),RM & Anderson .Paak,WzI5ODAwLDE2MDUyODU3XQ==
475293,25687,29597,5013,20.39,766da66-df7e-11e8-aa3c-549f35161576,Mwamba Wenye Imara,Godwin Ombeni,WzI5NzAwLDgyMDY3MTI2OF0=
475306,25700,29571,82,0.28,396c31a-8955-4ba4-9e7e-575b8ebe6e4b,Paisasita Maya Satnelai,Indra G C & Bishnu Majhi,WzI5NTcyLDEyODIyOTdd
475545,25939,29300,-100,-0.34,be82b94-a7da-445d-aa1b-3141ec63d5d5,WYAT (Where You At),SB19,WzI5MzEzLDc2NDEwMDI3OF0=
475706,26100,29100,-100,-0.34,3aa5c61-ee96-47e2-8ac3-ad6c5c46fa49,Lilra Ke Bindiya,Babloo Singh,WzI5MTAwLDY0MTgyNDEzNF0=
475998,26392,28731,0,0.0,2dedf8c-7b50-4e00-9adc-f89cabfc2e0d,I'm Gonna Love You,Cody Johnson & Carrie Underwood,WzI4ODI5LDI2MjA3NDkxXQ==
476053,26447,28672,-66,-0.23,4585e13-c2e7-4be1-9c42-fca346d85157,Okay Lang Naman Ako,Henyong Makata,WzI4NzE4LDExNzMyMjVd
476178,26572,28500,-100,-0.35,471dc24-0040-11e9-afea-00163ec5a2fb,Gaya Arsh Te Larha Banke,Shahbaz Qamar Fareedi,WzI4NjAwLDY5NjgwODU3OF0=
476283,26677,28400,5600,24.56,63c6246-3192-47cc-89dd-34bfd2fb4d7e,Viva España,Peet Vait,WzI4NDgzLDY0MTExMTEzOV0=
476311,26705,28364,-34,-0.12,5d2e05c-3097-4320-9b1b-de593bd0310d,По душам,МОТ,WzI4MzczLDIxNDkzMDQwXQ==
476447,26841,28200,-100,-0.35,0e428a6-6a2e-4d7a-9ef5-23806f31aa30,Kavkaz Orginal Bass,Qara 07,WzI4MjM2LDY2Nzk3ODA1OV0=
476660,27054,27968,-54,-0.19,07976ea-0a28-420e-805d-bc8c14325503,Red Lipstick (Hey wassup its 616),Lil Animal,WzI4MDAwLDE5MTczNDk3XQ==
476665,27059,27954,-19,-0.07,34598fc-cd53-4ad0-ba12-a55ce988631d,Yaro Yahi Dosti Hae,Jupiters,WzI4MDAwLDE5MTczNDk3XQ==
476666,27060,27952,-95,-0.34,3d1ac68-5158-11ea-bfcf-549f35141000,Devilai Rato Dhaja Chha,Eak Narayan Bhandari & Basanta Thapa & Sapana Thapa,WzI4MDAwLDE5MTczNDk3XQ==
476724,27118,27900,-100,-0.36,e484867-9bc9-4012-8204-c5c23ba1c615,Exclusive,Shaneil Muir,WzI3OTAxLDMzMDIwNTE3XQ==
476736,27130,27900,-100,-0.36,ea968fb-c792-43ac-8593-c7d635fce7bb,Somebody,D.O.,WzI3OTAxLDMzMDIwNTE3XQ==
476831,27225,27798,-30,-0.11,3265adc-4a03-4f05-b492-1ee1a4d00bcd,Bhataar Majaa Bahari,Khesari Lal Yadav & Sarodi,WzI3ODAwLDIxNDMxMDAxXQ==
476889,27283,27705,-95,-0.34,96571b4-4d71-11ea-a2b4-e4434b16cb78,"Cantina Band - From ""Star Wars: A New Hope""",London Voices & London Symphony Orchestra & John Williams & New London Children's Choir,WzI3ODAwLDIxNDMxMDAxXQ==
477285,27679,27300,-100,-0.36,bb31f8d-655b-4a95-bc84-465be1fbfb41,Meena Jurm Na De Cha Sarkar,Nehar Ali & Ilyas,WzI3MzkwLDUxOTk4MV0=
477301,27695,27292,-18,-0.07,921e160-b8f1-11e8-b297-525400009efb,Dibine Dibine,Ece Seçkin,WzI3MzkwLDUxOTk4MV0=
477667,28061,26900,300,1.13,9a77b68-f6e5-47ae-8245-b290b784dc50,Cari Apak Baru,Bakatumuik,WzI2OTQxLDIxMzQ1MzVd
477669,28063,26900,-100,-0.37,6de9c10-9045-4145-a2cb-318ae0796ca0,Da3it Allah,Hussain Aljassmi,WzI2OTQxLDIxMzQ1MzVd
477679,28073,26894,-13,-0.05,b73fd8e-f921-4595-8a88-5ff9803b8dd0,Happy birthday,Qboyjeshi,WzI2OTQxLDIxMzQ1MzVd
477710,28104,26846,-99,-0.37,b12d5bc-240e-11ea-bbda-549f35161576,Yesto Pani Hudo Raichha,Phatteman,WzI2ODU2LDE5MTE0ODE3XQ==
477787,28181,26778,-95,-0.35,91d8bf3-c7ee-424a-812b-6d4b6d800efc,Ko'nglim Olding,Uzmir & Mira,WzI2ODU2LDE5MTE0ODE3XQ==
477816,28210,26735,-63,-0.24,1e8409a-61e1-e44a-ba02-a0369fe50396,เมื่อความฮักเก่า น้องสิเหงาบ่,Siriporn Ampaipong,WzI2NzU1LDcyODg1NTgwN10=
477872,28266,26695,-38,-0.14,1e840ce-0b8c-42c8-a4fb-a0369fe50396,Fura Olho,Lucas Rangel,WzI2NzU1LDcyODg1NTgwN10=
477873,28267,26695,-13,-0.05,eb5fe3d-1114-4121-94df-40a5432c2e6d,3730,Treintisiete,WzI2NzU1LDcyODg1NTgwN10=
478004,28398,26518,-93,-0.35,1e840a9-221b-f9ae-bbe7-aa1c026db3d8,Tere Pind Wallo'n,Prem & Hardeep & Satinder Sartaaj,WzI2NjM0LDIzMTkxNjNd
478052,28446,26490,-98,-0.37,4d454d0-b8ee-11e8-b7e1-525400009efb,Moonlight,Ali Gatie,WzI2NTE3LDcwMzg2MjY1Nl0=
478229,28623,26296,-87,-0.33,f1bb216-103d-4881-b6db-bf794f426a2b,Pautips,Oglock Og Lock,WzI2MzAwLDYzMDM3MDU1NF0=
478266,28660,26232,159,0.61,c6d9c3b-7f7a-4884-96c7-aad59aa131d1,Futebol É Arte,Mc Neguin da VL,WzI2MzAwLDYzMDM3MDU1NF0=
478311,28705,26200,0,0.0,73ee4f6-f433-45f0-9ec6-e52ecb0b60f8,Sexy Blues,Ricardo Gerhard,WzI2MjAwLDYyOTA1OTI2OV0=
478395,28789,26105,-92,-0.35,0bc1e59-ebff-429a-ae2d-5e06bb27d45b,Gvnman Shift,Skeng,WzI2MjAwLDYyOTA1OTI2OV0=
478567,28961,25971,-29,-0.11,c095893-7bbe-41d3-8ec5-d3ab4784fc24,Qurboniman,Osman Navruzov,WzI2MDEwLDcxNDc3NzA5NV0=
478581,28975,25952,-93,-0.36,1b7f705-97eb-4814-ab40-e2f0d576c2b3,พอได้ยัง,34RISK & 2T FLOW & Soloist,WzI2MDEwLDcxNDc3NzA5NV0=
478729,29123,25800,-100,-0.39,ba7ea42-7732-4ec9-a137-21327df3ce98,Ghosty,Grimm Dreamurr,WzI1ODAzLDY4NjIwOTIwOF0=
478750,29144,25773,-95,-0.37,1c36450-5928-4092-952c-067d9c4c1f32,Chalyo Batash,Gobinda Pangeni & Menuka Pariyar & Sitaram Pariyar,WzI1ODAzLDY4NjIwOTIwOF0=
478836,29230,25698,-97,-0.38,1e8409b-d949-ef04-bfdc-aa1c026db3d8,Miroase a Vara,Kio & What's Up,WzI1NzAwLDE3NjU3MjJd
478869,29263,25656,-84,-0.33,8f3c2af-559c-4f7d-ac1f-f0efac7d967a,Rồi Mình Sẽ Hạnh Phúc,Tuyền June,WzI1NzAwLDE3NjU3MjJd
478934,29328,25597,-34,-0.13,62b193e-ee9d-11e9-851f-549f35161576,Bamba Nieup,Jahman X-Press & Ahmada,WzI1NjAwLDE5NTk5MzM4XQ==
479086,29480,25410,-22,-0.09,ba447de-6998-4b13-955c-c284d6388f8a,Na She Da Nazara,Irfan Kamal & Ebid,WzI1NTAwLDYzMjc2MTcwMV0=
479145,29539,25384,-77,-0.3,a5fe2c7-8b4f-4435-8f8f-0eaecf7429d2,Ladies And Gentlemen Her,Dubskie,WzI1NDAwLDI2MzA4Mzg0XQ==
479165,29559,25355,582,2.35,33b588e-0db6-4c26-ace1-64765e8a9677,Jit Nahdarlak 3la Slahek,Didou Parisien & Tchikou 22,WzI1NDAwLDI2MzA4Mzg0XQ==
479198,29592,25300,-100,-0.39,1e8a9fe-5db7-a418-9506-525400009efb,Answerphone [Team Salut Remix],Ella Eyre,WzI1NDAwLDI2MzA4Mzg0XQ==
479276,29670,25218,90,0.36,1e8409f-4781-5c5c-a24e-aa1c026db3d8,يا عباس,Hussein Faisal,WzI1MzAwLDYxMjE1MzYwMV0=
479500,29894,25000,0,0.0,3db6b27-109a-47c6-8431-6aba27e76adb,Kimetsu No Yaiba (Guregen),Otakus Beat,WzI1MTAwLDY3NTk5NzU0OV0=
479513,29907,25000,1500,6.38,7f00867-66ea-454c-9649-526d72d34ce9,Ya Hussain Ibn e Ali,Muhammad Bilal Qadri Moosani,WzI1MDAwLDY5NDkyODU1NF0=
479546,29940,24949,-49,-0.2,8441519-0b70-4855-9a1f-8aeff7a9533c,Iar te suna fraierul (feat. Costel Biju),Mariano & Costel Biju,WzI1MDAwLDY5NDkyODU1NF0=
479570,29964,24923,58,0.23,a4290d4-3ace-11ea-9c35-801844ee83a6,ตามสบาย (ฟีท สวิทไฮ),Mac YoungHea,WzI1MDAwLDY5NDkyODU1NF0=
479919,30313,24600,-100,-0.4,1e82669-1e0b-283a-8b84-aa1c026db3d8,Le Hace Falta Un Beso,El Chapo De Sinaloa,WzI0NjI3LDQ3MDAzNjg1XQ==
480223,30617,24392,-32,-0.13,c24d9b4-ed00-4669-bd1d-49d8257f4b49,Pahnjo Saharo Ghazi Aa,Zamin Ali,WzI0NDAwLDY0Mjk3MjMyOV0=
480269,30663,24332,-43,-0.18,580bcd1-917e-4a2b-96f6-775067ff3ec0,HAPPY BIRTHDAY,Aman Maan,WzI0NDAwLDY0Mjk3MjMyOV0=
480306,30700,24300,-100,-0.41,c4013c3-e787-45bc-a298-2966c38f91f3,The Business - Vintage Culture & Dubdogz Remix,Vintage Culture & Tiësto & Dubdogz,WzI0MzAwLDY2NDExNzEyMl0=
480311,30705,24300,0,0.0,d0f696d-2880-46e6-9946-c3e7aaa35b7c,Lahlou Wel Morr,Fares la Classe,WzI0MzAwLDY2NDExNzEyMl0=
480346,30740,24279,-21,-0.09,990daa3-8b43-492b-9690-cbeae02804a3,Superstar (feat. Future),Young Stoner Life & Young Thug & Future,WzI0MzAwLDY2NDExNzEyMl0=
480364,30758,24255,-92,-0.38,5f18c86-c367-11e8-8362-525400009efb,Loser,Jalen Tyree & Garrett.,WzI0MzAwLDY2NDExNzEyMl0=
480439,30833,24190,21881,947.64,6c8030f-b172-44bd-9c1b-e6d5f2ea31a6,Dil Da Badshah,Wajid Ali Baghdadi,WzI0MjAwLDE5NzYxMzkyXQ==
480612,31006,24000,0,0.0,a22cc34-a707-4130-95d7-b26bdee975fe,Schnee,Simone Ludwig,WzI0MDAwLDI2MTM4OTg2XQ==
480763,31157,23889,-14,-0.06,3306aa8-c678-11e8-875e-549f35141000,Ayrılık,Kıraç,WzIzOTAwLDEzMzI2ODI5XQ==
480822,31216,23814,-99,-0.41,033bde4-60e5-40f4-825d-bc545fe00f91,Chet Klaeng MaMa,Boty Phen,WzIzODM1LDQ2MTc5OTU2XQ==
480832,31226,23806,-74,-0.31,da39014-4a83-11ea-93ee-801844ee83a6,"Sanjha Parey Pachhi (From ""Appa"")",Snehshree Thapa & Anmol Gurung,WzIzODM1LDQ2MTc5OTU2XQ==
480909,31303,23744,-67,-0.28,d2a3a2d-94c5-4f35-b136-21a790bb2871,May May Nay Kaung Lar,Htoo Eain Thin,WzIzNzUwLDE2MzgwMzk4XQ==
480943,31337,23703,-92,-0.39,2a2bef2-374d-429f-8be4-08ea0809d87e,Пора домой,Xassa,WzIzNzUwLDE2MzgwMzk4XQ==
480969,31363,23700,-100,-0.42,689597e-6cef-4e47-a15e-5b799a69d72f,Mamita Querida,Sherlyn Rosario,WzIzNzUwLDE2MzgwMzk4XQ==
481041,31435,23620,-22,-0.09,1e8634c-60e6-9ea8-b8cd-a0369fe50396,Nesrine,Berdan Mardini,WzIzNjY1LDEyMDM2ODZd
481074,31468,23600,-100,-0.42,5e3b930-f2ca-11e8-a8e4-549f35141000,"Начальник, не хочу работать",HammAli & Navai,WzIzNjY1LDEyMDM2ODZd
481094,31488,23600,-100,-0.42,e4d4eab-3916-4628-ab2d-4954f131a3b1,บานปลาย (Best wishes),BOWKYLION,WzIzNjY1LDEyMDM2ODZd
481098,31492,23600,-100,-0.42,46e6863-28de-417d-8bc8-40826902a5a8,Syauqbilu Ya Kholiqi,DISC MUSIC,WzIzNjY1LDEyMDM2ODZd
481120,31514,23584,-29,-0.12,61f15e5-0361-4797-8322-ae9f045c8c70,"Ни ногой, ни рукой",Nodahsa,WzIzNjAwLDgwOTE1MDg3NF0=
481226,31620,23485,416,1.8,07abe58-22ab-44ee-bf48-0066cf710623,Я просто устал,Vspak,WzIzNTAwLDY4MDExNDE2NF0=
481396,31790,23304,24,0.1,2d46cb4-46ea-11e9-9d54-00163ec5a2fb,Pa ti pa mí na má,Demarco Flamenco,WzIzNDAwLDU2ODcwNDk2XQ==
481594,31988,23119,-97,-0.42,47f98f5-cfaa-4d5e-815c-de958187cd0a,U Gurl,Walker Hayes,WzIzMjAyLDEzNTA0MzJd
481640,32034,23100,-100,-0.43,e1bc797-11ee-4b7f-a956-7d3e956e69be,Dear my X,KyoungSeo,WzIzMTA2LDcwNzg3MjQxNV0=
481648,32042,23089,-66,-0.29,181eee7-0452-4f48-9188-65554a341554,Sebab Akibat,Itje Trisnawati,WzIzMTA2LDcwNzg3MjQxNV0=
481702,32096,23019,-59,-0.26,48aae0a-8f75-4ac0-a74a-9bcc767d069b,Samma gamla vanliga,A36,WzIzMTA2LDcwNzg3MjQxNV0=
481859,32253,22900,-100,-0.43,bc38b4d-8b17-4995-8910-4f5350324648,Обійми (Ремікс),Океан Ельзи,WzIyOTQxLDY1Nzc4NzcxMV0=
482102,32496,22685,-100,-0.44,3a17220-9901-11e9-be9d-549f35161576,Jaan Warda,Ravneet,WzIyNzczLDY2Mzk2OTI0OV0=
482222,32616,22596,-96,-0.42,b655065-cef7-4149-99e8-a6ef68a93032,La Guayabita,Jenny Rosero,WzIyNjAwLDY1NTQyOTM0NV0=
482225,32619,22593,64,0.28,6a16b94-25fd-11e9-b9bd-549f35161576,Bassa Sababa,Netta,WzIyNjAwLDY1NTQyOTM0NV0=
482304,32698,22500,-100,-0.44,1e86324-514a-26ae-8106-a0369fe50396,Tror du att han bryr sig,FELIX SANDMAN,WzIyNjAwLDY1NTQyOTM0NV0=
482334,32728,22492,-86,-0.38,d647540-07e5-42eb-8085-5b7dcf392be0,Fame,MegaBeatsZ,WzIyNTAwLDMwMTk5Nzg0XQ==
482413,32807,22400,-100,-0.44,1e8407e-ec18-5d5e-b15b-aa1c026db3d8,Golibe,Flavour,WzIyNDAwLDMzOTY4XQ==
482513,32907,22325,5,0.02,3bf7c17-9803-4638-b425-3337fdfe6372,Malami,Puskal Sharma,WzIyMzMxLDExMDMyNDMxXQ==
482588,32982,22292,-87,-0.39,6886cde-b222-463c-88e2-1241b7bbd202,"Бой, бой",Tsvetelina Yaneva,WzIyMzMxLDExMDMyNDMxXQ==
482593,32987,22283,-2,-0.01,1e8409b-4c42-dae4-8c5f-aa1c026db3d8,#Лайкми,Diskoteka Avariya,WzIyMzMxLDExMDMyNDMxXQ==
482694,33088,22200,900,4.23,0877668-daf0-4034-8fa4-ce722b634b65,Vamos Vamos Argentina,Argentina FanChants & Canciones del Hincha,WzIyMjcxLDI2NzQ4NTc1XQ==
482718,33112,22194,-35,-0.16,2cae6f2-aacc-4406-b618-3df16501f686,Domingo,Ceky Viciny & Bulin 47,WzIyMjAwLDczNTc1NzcyOV0=
482739,33133,22165,-53,-0.24,e0b248b-765b-498f-9677-998b2fcbf6f9,Ojo Nganti Lali - Lagu Jawa,Andika Mahesa,WzIyMjAwLDczNTc1NzcyOV0=
482851,33245,22092,-52,-0.23,1e840a9-6ded-5c1a-ada9-a0369fe50396,Как достать соседа,THRILL PILL,WzIyMTAwLDI2OTU2NjEyXQ==
482978,33372,21982,-97,-0.44,1e82620-df62-1708-ad8e-aa1c026db3d8,O grande amor da minha vida,Roberto Carlos,WzIyMDE4LDI3MTQ5NTU4XQ==
483164,33558,21819,-39,-0.18,a30b180-c607-11e8-82f0-549f35141000,Se Te Olvida?,Acentoh,WzIxODg5LDIwMjQwNTQ2XQ==
483233,33627,21786,-100,-0.46,79333ac-b8f4-11e8-8f5b-525400009efb,Bota pra Tremer,PEDRO SAMPAIO,WzIxODAwLDYzMjA3NTI1M10=
483574,33968,21500,-100,-0.46,1e840a1-b4d1-c970-8ae3-aa1c026db3d8,Bugatti - G-Mix,Wiz Khalifa & 2 Chainz & T.I. & Rich Gang,WzIxNTYwLDQzMTk3ODczXQ==
483615,34009,21493,-96,-0.44,8ba673f-fa60-4aca-8e8e-8436d94b5029,La Formulita,Beto Zabaleta & Goyo Oviedo,WzIxNTAwLDczMDM5MTMzNV0=
483922,34316,21252,-40,-0.19,93769c0-0dea-11ea-8367-801844edfa71,Someone You Loved,Brittany Maggs,WzIxMjc4LDMzNzAyNTA1NV0=
483934,34328,21238,-18,-0.08,8849f8a-6082-11ea-a813-e4434b16cb78,Chotey Hazrat,Nadeem Sarwar,WzIxMjc4LDMzNzAyNTA1NV0=
483993,34387,21200,-100,-0.47,53d6400-f216-4a0c-8db4-17bdedd59439,しあわせならてをたたこう,出口たかし,WzIxMjc4LDMzNzAyNTA1NV0=
483998,34392,21200,0,0.0,65486c9-e249-4c2d-ad22-cc38a741cf8a,Chirps in the Morning,Bird Sounds,WzIxMjc4LDMzNzAyNTA1NV0=
484091,34485,21131,-50,-0.24,80dc000-c083-4792-abf4-48f6110831d9,Toxic,AP Dhillon & Intense,WzIxMjAwLDY5MTQ1Mzg0N10=
484129,34523,21100,-100,-0.47,1e840a6-f7ce-6224-a3e2-aa1c026db3d8,Happy Birthday to You (The Birthday Song),The Jellybeans,WzIxMTE3LDYzMzQ0MDg2N10=
484161,34555,21100,100,0.48,363cc17-c885-4ed5-a60d-559fef5630ad,Simon Says,Kaniva,WzIxMTE3LDYzMzQ0MDg2N10=
484192,34586,21063,-37,-0.18,60b4d64-89e5-4bf9-9dcb-981bb9c915c9,Mast Maula,Darshan Lakhewala,WzIxMTE3LDYzMzQ0MDg2N10=
484336,34730,20952,-79,-0.38,1e84139-fc77-8204-a655-a0369fe50396,Novella,IVAN VALEEV,WzIwOTg1LDE5MTk4OTM1XQ==
484637,35031,20741,11720,129.92,1e8a772-58f6-c92e-9205-525400009efb,91's,PNL,WzIwNzc0LDY3NTc4MzQ0NV0=
484670,35064,20703,-97,-0.47,298e814-c1cc-11e8-800d-525400009efb,Over the Rainbow,MERMAID VISION,WzIwNzc0LDY3NTc4MzQ0NV0=
484801,35195,20611,-13,-0.06,711ae49-58f3-4661-a026-5f9a2cc5f25b,Олег Ти Шо Плачеш? [Explicit],Піцики Лупіцики,WzIwNzAwLDY0MzQwMTExNF0=
484827,35221,20600,0,0.0,76bc466-fc0e-11e8-bcc1-549f35161576,El Topon del Diablo,El Makabelico,WzIwNjA3LDcyNzc5NzQ5MF0=
485135,35529,20387,-83,-0.41,5eb0271-5f85-41b6-bbab-ae7c400a7315,Anh Thề Đấy,Thanh Hưng,WzIwNDAwLDY3MjA1Mzc3NV0=
485306,35700,20244,-100,-0.49,1e8409c-1ec7-6e8a-a218-a0369fe50396,O.K.บ่อ้าย,Kowtip Thidahdin,WzIwMjQ1LDcyNDQwMzMzMV0=
485344,35738,20212,-51,-0.25,1e840b5-ac69-3624-adf4-a0369fe50396,"Khali Dil Nahin Jaan Bhi Hai (From ""Kachche Dhaage"")",Alka Yagnik & Hans Raj Hans,WzIwMjQ1LDcyNDQwMzMzMV0=
485391,35785,20200,-100,-0.49,6fc55d0-baa1-4b02-aaf2-afccd98aa781,Sudah Tak Cinta (Busking Version),Darulaman Buskers & Shaa,WzIwMjQ1LDcyNDQwMzMzMV0=
485423,35817,20167,-99,-0.49,e7fd336-9e36-4aa3-b4a5-0c7785409fe2,ISMAIL DANAN WALIGAA II FARAXSANOW,Muthazir,WzIwMTkwLDUzNzU2OTRd
485454,35848,20139,-99,-0.49,1e8409d-5e1a-c7f2-a6ab-aa1c026db3d8,รู้ยัง,ROO YUNG,WzIwMTkwLDUzNzU2OTRd
485485,35879,20104,-96,-0.48,cca3e24-8c57-4107-8b5b-bd703895d1d4,อยู่ๆก็คิดถึง,วงสวัสดี,WzIwMTkwLDUzNzU2OTRd
485552,35946,20092,-52,-0.26,65fcc69-d323-49f3-849b-3d92007ca3e7,Matt Lout Sayar,Wyne Su Khaing Thein,WzIwMTAwLDQ3MzM0MjQ0XQ==
485565,35959,20075,-94,-0.47,717700d-c908-4bf9-a0ef-cbd5ff9d2f30,Gucci,Aroob Khan,WzIwMTAwLDQ3MzM0MjQ0XQ==
485638,36032,20007,-39,-0.19,bc02564-44ee-11ea-9fc4-801844edfa71,Ayer la Vi,Cano de Cali,WzIwMDM1LDU2NDU3Njk1XQ==
485679,36073,20000,-100,-0.5,e00e8e2-41ea-473c-8404-c99ff8a0565c,Anh Say Rồi,Kenbi Trần,WzIwMDM1LDU2NDU3Njk1XQ==
